,(treatmentProtected_D1_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D3_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D7_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D14_Prime - treatmentProtected_D0_Prime),(treatmentProtected_BD0_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD1_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD3_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD7_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD14_Boost - treatmentProtected_D0_Prime),(treatmentUnprotected_D1_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D3_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D7_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D14_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD0_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD1_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD3_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD7_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD14_Boost - treatmentUnprotected_D0_Prime),tiW0D1.vaccProt.grS...tiW0D0.vaccProt.grS,tiW0D3.vaccProt.grS..tiW0D0.vaccProt.grS,tiW0D7.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D0.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D1.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D3.vaccProt.grS..tiW0D0.vaccProt.grS,tiW0D1.vaccInfe.grS...tiW0D0.vaccInfe.grS,tiW0D3.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW0D7.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D0.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D1.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D7.vaccInfe.grS..tiW0D0.vaccInfe.grS
PHACTR4,0.669809562,0.179881534,-0.121051451,-0.261916293,0.174982087,0.265449637,0.182025563,-0.084352552,-0.05198972,0.147847072,0.077488244,-0.155854665,-0.213769932,0.049892172,0.057128792,0.046017677,-0.199120945,-0.099527625,0.552863579,0.440065419,0.0412692,0.511609256,0.658753046,0.783557988,0.376094579,-0.214226632,-0.319743428,0.051896783,0.471188699,0.000900815
CMA1,-0.924459504,-0.043551139,0.225810498,0.248983622,-0.201750563,-0.540373265,0.128361383,0.376234843,0.380096081,0.126746785,0.716328355,0.877296526,0.627788309,0.247930521,0.260882629,0.537336314,0.815086527,0.624820957,-0.681924203,-0.384579091,0.186733861,0.223556051,0.213010017,0.017606103,-0.40562908,0.506082825,0.674309048,0.397502967,0.391960417,0.646784097
CPEB4,0.560137532,-0.169821861,0.34033278,0.167951533,0.774084608,0.712996324,0.243608371,0.590054314,0.525599569,-0.046973725,-0.357810299,-0.188527296,-0.314883149,-0.111875463,-0.05320073,0.136833229,0.332736319,0.116562915,0.747705171,0.856618068,0.450146785,0.784770671,-0.083489937,0.962528973,0.523048727,-0.392706545,-0.080438971,0.470424871,-0.126027908,-0.553324367
LPGAT1,0.94801297,-0.054838585,-0.011415055,-0.122930212,0.590943838,0.929402233,0.073886968,0.263939609,0.335439773,0.369145996,-0.274884187,-0.326635377,-0.44866888,-0.100950793,0.014636688,-0.076488381,-0.219568153,-0.250048627,0.621753656,0.611565006,0.215709037,0.600050722,-0.047458982,0.532415173,0.460095319,-0.249213587,-0.393530968,0.293354671,0.097287341,-0.225463027
ABCA1,0.812117622,-0.144122216,0.00957447,0.007649552,1.073991781,1.046449316,0.135116348,0.197276448,0.22609171,0.07476943,-0.643533439,-0.498722931,-0.107002226,0.169782602,0.026236027,-0.261998831,-0.523290041,-0.364152749,1.023739521,1.017820628,0.072037416,0.534812458,0.450044944,0.962204398,1.202996644,-0.075439914,-0.198270006,0.441116749,0.593324747,-0.390062773
VCPIP1,1.507030511,0.431790539,0.102713118,0.160521388,0.778943061,1.280575846,0.570140585,0.588572194,0.416764761,0.603481793,0.110340913,-0.121414538,-0.205686139,0.139627024,0.472238732,0.365856762,0.017394176,0.031006799,1.163372626,1.276902952,0.596406128,0.847479137,0.472957536,1.250779308,0.99581628,0.004784339,-0.224475754,0.478324896,0.359573955,-0.635886347
SAMD9L,1.491556504,0.064356881,-0.260615841,-0.333454092,0.549016321,1.153584594,-0.016560446,0.024128341,-0.089185524,0.622270351,-0.118613084,-0.402791538,-0.357620532,-0.251578164,0.555752551,-0.09039509,-0.270331132,-0.277060908,1.187830306,0.721360603,-0.004550688,0.611870055,0.756330167,0.648937442,0.891252544,-0.010765627,-0.483432751,0.19950253,0.557311697,-0.430736689
CEP131,-0.668004854,-0.233335073,-0.189470653,-0.218695551,-0.503767674,-0.548376924,-0.314243844,-0.288039728,-0.175432214,-0.261387805,-0.130871106,-0.014484892,0.053376076,-0.117143373,-0.353478802,-0.163614861,0.008832635,-0.13074679,-0.718134171,-0.647146602,-0.180729918,-0.745562996,-0.276461222,-0.919693682,-0.469020324,0.578218956,0.36368292,-0.414613633,-0.585281494,0.38299836
FYB1,0.96595968,0.102480399,-0.139987142,-0.06298709,0.353763062,0.931182924,0.206636152,0.200882956,0.215623456,0.277173709,-0.106200886,-0.258172422,-0.213179196,-0.090648173,0.248655624,-0.029577166,-0.114280941,-0.112873431,0.560652524,0.446663473,0.235923662,0.602674005,0.314572947,0.756189957,0.487835267,-0.132682535,-0.058707583,0.407981249,0.38023857,-0.01972462
SCRN2,-0.446660464,-0.035849661,-0.024754645,0.086421759,-0.431899359,-0.36617152,-0.174703851,-0.137981757,-0.092518663,-0.139108832,0.111226012,0.144712298,0.213440547,-0.001644109,-0.099635402,0.003827011,0.08847937,0.170282287,-0.397419679,-0.264879839,0.082545483,-0.254906296,-0.050385596,-0.441871332,-0.239703774,0.333540236,0.415585347,-0.076720332,0.013510252,0.355015227
