,(treatmentProtected_D1_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D3_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D7_Prime - treatmentProtected_D0_Prime),(treatmentProtected_D14_Prime - treatmentProtected_D0_Prime),(treatmentProtected_BD0_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD1_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD3_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD7_Boost - treatmentProtected_D0_Prime),(treatmentProtected_BD14_Boost - treatmentProtected_D0_Prime),(treatmentUnprotected_D1_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D3_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D7_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_D14_Prime - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD0_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD1_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD3_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD7_Boost - treatmentUnprotected_D0_Prime),(treatmentUnprotected_BD14_Boost - treatmentUnprotected_D0_Prime),tiW0D1.vaccProt.grS...tiW0D0.vaccProt.grS,tiW0D3.vaccProt.grS..tiW0D0.vaccProt.grS,tiW0D7.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D0.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D1.vaccProt.grS..tiW0D0.vaccProt.grS,tiW18D3.vaccProt.grS..tiW0D0.vaccProt.grS,tiW0D1.vaccInfe.grS...tiW0D0.vaccInfe.grS,tiW0D3.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW0D7.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D0.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D1.vaccInfe.grS..tiW0D0.vaccInfe.grS,tiW18D7.vaccInfe.grS..tiW0D0.vaccInfe.grS
TRIM22,1.154308986,0.130410681,-0.217296229,-0.131671155,0.455650694,0.796744451,-0.038473984,0.006788622,-0.039861867,0.497402434,0.031257351,-0.257647984,-0.123009506,-0.087189102,0.435287223,-0.051051998,-0.197511017,-0.185265782,0.895643889,0.616157824,0.127003465,0.53657152,0.685782676,0.644796396,0.828376994,0.070165471,-0.185020392,0.308452723,0.709740332,-0.173899163
DMXL2,1.22279499,0.477103241,-0.071874287,0.095220639,0.851421831,1.692515812,0.901470682,0.622459967,0.399928556,0.468570521,0.128056488,-0.149318428,-0.299110699,-0.086946931,0.553601474,0.517049135,-0.065559625,-0.148217235,1.340229588,1.15176431,0.490736918,0.945563517,0.179019415,1.156193132,1.412820923,-0.073157637,-0.151256719,0.721670027,0.514651047,-0.19208242
USP15,0.563047118,-0.09635766,0.029255786,0.065173688,0.560224645,0.48938501,-0.176542922,0.301076201,0.370315978,-0.015661366,-0.218325414,-0.256943241,-0.352328157,-0.283965006,-0.168111344,-0.292100366,0.110621279,-0.010685255,0.986772651,0.84938256,0.445430672,0.676709782,0.059653773,0.663435001,0.489420183,-0.291467931,-0.304058447,0.140499538,-0.095157267,-0.865625428
PGAP3,-0.400287907,-0.059126184,-0.010266263,0.039063683,-0.471654007,-0.578657529,-0.255129938,-0.079550789,-0.11662456,0.009621649,0.048760568,0.241223272,0.261552971,0.154354537,-0.072346131,-0.026278384,0.149724908,0.155496897,-0.533776478,-0.447240569,-0.079416361,-0.443123544,-0.136690733,-0.515802632,-0.457559239,0.219388415,0.300370189,-0.157714136,-0.085994369,0.278778367
ATXN7,1.074734846,-0.035367146,0.016431186,-0.114453079,0.384227524,0.768790893,0.067625291,0.08470837,0.133125894,0.292347859,-0.244943662,-0.235992962,-0.154695257,-0.056083815,0.203767914,0.044403038,-0.05331388,-0.170554187,1.075890281,0.954895531,0.343158856,0.593686346,0.549954657,1.028244154,1.126279059,-0.2795769,-0.266155959,0.470353346,0.510208797,-0.380913215
RICTOR,1.308746448,0.043525477,0.200592312,0.255288641,1.217214123,1.175400686,0.44460253,0.891930435,0.698047293,0.372995082,-0.549448237,-0.306447853,-0.258442049,0.073688464,0.445376655,0.252861641,-0.03909343,-0.000576424,1.511910852,1.724619893,0.608632377,1.193924455,0.497476222,1.490930671,1.68343835,-0.114202824,-0.052254332,0.909544653,0.396279466,-0.437488142
TANK,1.052729373,0.029750685,-0.116198756,-0.054831966,0.430078748,0.738911745,0.003440843,0.149010979,0.135778404,0.379488819,0.013953373,-0.134440737,-0.062019414,-0.004994696,0.397812086,0.061738609,-0.093408569,-0.058796211,0.762433194,0.590621917,0.367039202,0.520140293,0.266468214,0.657984944,0.600573456,-0.162976418,-0.102969177,0.276652779,0.232649939,-0.399799144
PIK3AP1,1.161061885,0.241136022,-0.055247676,0.068685149,0.30118439,0.953498294,0.274690307,0.134740248,0.059384278,0.650351179,0.141296018,-0.034692277,-0.018133404,0.113180057,0.58269539,0.220812739,0.000884834,-0.05277387,0.785465379,0.564819215,0.114823028,0.347328827,0.532144901,0.677965201,0.58757157,0.017122047,-0.161441613,0.21159664,0.439134287,-0.168404791
VRK2,0.760338575,0.004489207,-0.174625735,-0.123297173,0.240878952,0.487311325,-0.067560303,0.028638508,-0.013781043,0.216454761,-0.031930295,-0.198354921,-0.145980377,-0.090610249,0.323476436,-0.018153266,-0.166420022,-0.045376537,0.937513386,0.951530391,0.497276506,0.568299996,0.433735107,0.831644828,0.712082932,-0.078398448,-0.047511065,0.368783576,0.232222223,-0.574607872
ACTN3,-0.653838954,0.157214659,0.50958913,0.274013534,-0.687703222,-0.946223701,-0.218110677,0.108195584,0.013637166,0.039777858,0.149956445,0.567015602,0.601400274,-0.074459272,-0.176439945,0.281139013,0.292076365,0.5784913,-0.551566129,-0.588575656,0.015055609,-0.342343835,0.073088905,-0.484916085,-0.142004165,0.701246776,0.648234714,0.125362575,0.200088306,0.480775772
CTSF,-1.003600185,-0.078729411,-0.048687731,0.142870742,-0.456309376,-1.146166206,-0.123565191,-0.080666888,-0.118476189,-0.577605029,-0.041304429,0.154293717,0.227042912,-0.096960206,-0.55088166,-0.156372806,0.087015155,0.075621658,-0.55948014,-0.353271859,-0.01793714,-0.199774332,-0.259877591,-0.410741095,-0.247648716,0.324719847,0.384340003,0.071405103,-0.044552446,0.327590196
PIBF1,1.476978295,0.168970199,0.095710304,-0.099374564,0.502393423,0.891577204,0.110551538,0.210672726,0.141357149,0.515173038,0.137585135,-0.320439108,-0.278815928,-0.114689434,0.244251674,0.286793826,0.048899288,-0.136546944,0.810373957,0.775250318,0.510508874,0.534278128,0.188720678,0.594709938,0.416048105,-0.14086716,-0.210483681,0.1946316,-0.147143936,-0.578899536
WDR54,-0.740391627,-0.265776772,0.000802232,0.079112279,-0.527357602,-0.914029202,-0.283501625,-0.288818736,-0.179910363,-0.063544942,0.088816108,0.252357273,0.337458369,0.143485594,-0.131009869,0.099229062,0.275283185,0.293266219,-0.555450883,-0.456682095,-0.073171219,-0.450502202,-0.138590702,-0.528384455,-0.432240852,0.289888552,0.30716809,-0.315285907,0.06081636,0.09183624
TUT7,0.90976283,-0.082982322,-0.068158692,-0.182853677,0.656619886,0.863562925,0.085542873,0.157732106,0.058592679,0.400291052,-0.266618717,-0.331362092,-0.252417584,-0.169149073,0.138817361,-0.117893136,-0.347197851,-0.372907803,1.046897863,0.738444994,0.202605559,0.617856266,0.272558388,0.730444444,0.884405648,-0.027992392,-0.332825446,0.193840793,0.425601754,-0.232776648
RMND5A,0.283661222,-0.114013385,0.579969881,0.500014685,0.621328261,0.245511526,-0.190174729,0.770431966,0.904529671,-0.300806392,-0.232157006,-0.095008375,-0.525252589,-0.721542054,-0.732911173,0.030067542,0.782582303,0.544889201,0.221264309,0.140120017,0.091679832,0.38410849,-0.077603022,0.475665658,-0.122409825,-0.505209826,-0.311779128,0.027534645,-0.134674504,-0.345331947
NAMPT,1.300285019,0.35141607,-0.272631049,-0.242898268,0.497609602,0.985256718,0.250489423,-0.029811617,0.180524482,0.438674839,0.100937862,-0.281410875,-0.33286786,-0.207377255,0.150167538,0.004666956,-0.226674309,-0.156885036,0.831010377,0.653323627,0.348533307,0.658800459,-0.149769554,0.622492648,0.455067702,-0.356908462,-0.479191866,0.224679612,-0.132714526,-0.910600072
IFNAR1,0.671598216,-0.002427658,-0.15036983,-0.151788497,0.249529979,0.633322551,-0.053195786,-0.004500055,-0.031472494,0.311991907,-0.010365812,-0.151800802,-0.100833357,-0.084732699,0.029154486,-0.135886476,-0.087171883,-0.16169482,0.468518155,0.448492497,0.047453577,0.475515177,0.336641203,0.587868421,0.347984684,-0.180799903,-0.30238064,0.29655988,0.397007588,-0.252381817
ACSL4,1.290018905,0.04398126,-0.054419211,0.009248116,0.862382146,1.346217413,0.465508564,0.584540481,0.538210291,0.500430443,-0.16692539,-0.279491905,-0.13891152,0.067047745,0.477688715,0.223107584,0.001839308,-0.04234889,1.100393028,0.982290047,0.361166391,0.922051226,0.17848532,1.039937744,1.070006016,-0.258755476,-0.265267628,0.601884383,0.377597144,-0.250570985
PHACTR2,2.038564218,0.337673276,0.17912103,0.009156966,0.519156242,1.492762524,0.131226689,0.295666159,0.353685437,0.637837481,0.076046674,-0.44655567,0.07147422,0.003975961,1.019661467,0.195165714,-0.315278923,-0.204063077,1.444560514,1.31698018,0.204002152,0.757268596,1.176139569,1.102167955,1.39607917,0.197632012,-0.117887637,0.686843678,0.850749728,-0.551242581
IL2RB,-0.73768169,-0.183439255,0.430389793,0.444459245,-0.398299772,-0.783050896,0.003733568,0.342257909,0.117191121,-0.203583762,0.333361427,0.851414286,0.901608586,0.266528195,0.099221803,0.564821196,0.679162512,0.752479784,-0.222433384,-0.050885757,0.40746589,0.039557295,0.317238587,0.190579999,-0.015842327,0.552729235,0.93836036,0.456502353,0.431257821,1.016527773
SMCHD1,1.267182362,0.195104502,-0.106749556,-0.119920978,0.650549002,0.860659583,0.283197793,0.22480165,0.198394864,0.349918327,-0.127371659,-0.314948874,-0.307389256,-0.122844072,0.348878249,0.022941107,-0.273283472,-0.172658584,1.082197592,1.06619124,0.440599923,0.735279867,0.407352194,1.000687317,0.895452178,0.078315916,-0.094628149,0.484003489,0.371711634,-0.362373661
PTPRJ,0.870875807,0.027309345,0.161014603,0.143563538,0.60782894,1.128918323,0.468250184,0.436333187,0.319401563,0.26851804,-0.215202017,-0.178370164,-0.129554494,0.105373321,0.179762215,0.108639387,-0.020340837,-0.137533763,0.427400089,0.348797144,0.03792798,0.321620713,0.222114828,0.668161539,0.584817829,-0.147196091,-0.039513202,0.329161886,0.520444675,-0.009777366
CREBRF,0.587689781,-0.029184771,-0.144714084,-0.151494532,0.408255423,0.356951074,-0.159656155,0.055986911,0.081204342,0.242130413,0.020528681,-0.16971317,-0.13668733,-0.037326685,-0.037521932,-0.175412659,-0.095323401,-0.085521658,0.884204529,0.949205689,0.396070907,0.60268935,-0.362723081,0.793290829,1.012007077,-0.093114208,-0.128199543,0.511226689,-0.114818208,-0.630844008
GHDC,-0.528539862,0.026201162,-0.14872664,-0.200998711,-0.644476075,-0.475314911,-0.126328919,-0.252379271,-0.198666921,0.039581654,0.302442069,0.263183613,0.281034486,0.05502362,0.062805907,0.343438109,0.200853127,0.114348752,-0.40254455,-0.377206216,0.024636714,-0.451789804,-0.069826157,-0.554519713,-0.117646512,0.421121674,0.389608898,-0.082964137,-0.037003744,0.405143888
ZC3HAV1,1.448059503,0.298426292,0.142525556,0.167268456,0.722291293,0.839136232,0.348394319,0.561225282,0.532900237,0.366690997,-0.158099409,-0.235690777,-0.199912531,0.009145755,0.300074464,0.108689951,0.004223508,-0.063432587,0.540993392,0.42097207,-0.022582546,0.599812576,0.725992806,0.62801356,0.570928175,-0.060220682,-0.192519936,0.438051343,0.757952602,0.123895415
GSAP,0.720470527,0.01746292,-0.054329277,-0.153253293,0.618427781,0.604358716,0.201255185,0.196436904,0.236308492,0.165941539,-0.052977391,-0.154680257,-0.183048751,-0.129636782,0.024969951,0.044906376,-0.057749922,0.010356769,0.657148084,0.723596116,0.354688025,0.628288671,0.062501399,0.578272276,0.652061214,-0.043888073,-0.118107408,0.451526514,0.245587778,-0.323908537
DAPP1,1.28712406,0.099317672,-0.25542046,-0.146393922,0.262628985,1.005786801,-0.01248994,-0.10232362,-0.19394554,0.547701903,0.133007263,-0.33357204,-0.29447355,-0.171844848,0.345364125,-0.119546268,-0.324611834,-0.452563878,1.006793259,0.693544841,0.10219334,0.327004514,0.459798663,0.660703326,0.721981003,-0.041806042,-0.494243338,0.065679668,0.388928523,-0.418051502
NPRL2,-0.470244905,-0.103594387,-0.067864806,0.018787032,-0.431106211,-0.533910707,-0.198243562,-0.102271346,-0.05909884,0.013750328,0.10329839,0.194720845,0.301304753,0.123699683,-0.025409661,0.119442755,0.121831409,0.180330326,-0.392485774,-0.286098852,0.128920439,-0.099591742,-0.044567606,-0.325046951,-0.412021594,0.1669582,0.295121297,-0.10954484,0.128916246,0.283617435
SV2A,-0.567671572,0.11043934,0.145217314,-0.054480548,-0.140336414,-0.806655838,0.170541115,-0.045234343,-0.06838711,0.086347564,0.157354754,0.29899152,0.296873049,0.19392855,0.128079714,0.329641088,-0.210081226,0.244438395,-0.909337709,-0.291922,0.085211745,-0.370903679,-0.378104952,-0.10024153,-0.418469852,0.429952132,0.479552408,0.264432281,-0.176794989,0.386741561
TBK1,0.785293547,0.194379211,0.017819782,-0.069777214,0.495185615,0.605597618,0.194557292,0.153335023,0.197920986,0.252626098,0.079464947,-0.084272382,-0.07545235,-0.04071149,0.247571037,0.03242935,-0.126897898,-0.019779644,0.964749656,0.940552257,0.519331134,0.602736835,0.197870891,0.757989123,0.52700968,-0.05753786,-0.280040183,0.190445123,0.01383962,-0.694268614
APBB1,-0.639268496,-0.108550738,0.136353802,0.043343667,-0.334981398,-0.862318394,-0.168510303,-0.004983197,-0.043749283,-0.150861297,-0.068519177,0.174965654,0.176718022,0.122803094,-0.260479978,0.008369564,0.021703358,0.136503254,-0.608211334,-0.426610022,0.080997579,-0.237479475,-0.133017194,-0.406017643,-0.521138306,0.177380313,0.342296903,-0.05707784,-0.249429674,0.327792268
TRIM3,-0.413486663,0.024147001,0.028020842,0.048183496,-0.202934289,-0.507757613,-0.074894645,-0.082168707,0.044908187,0.101810302,0.258076933,0.328719341,0.386387388,0.223422744,0.078318057,0.341992915,0.311389311,0.404598044,-0.417998626,-0.291932081,0.139579998,-0.147647974,-0.088990227,-0.253196258,-0.268514219,0.265829064,0.452342144,0.029942943,-0.009776963,0.349076129
CENPT,-0.570179313,0.335651493,0.178718294,0.187753368,-0.17179966,-0.764619015,0.04268587,0.001625155,0.116781359,-0.104436149,0.183787851,0.415971323,0.202420353,0.168000629,-0.122698252,0.310707624,0.370608048,0.097328159,-0.508207264,-0.480738573,-0.094757043,-0.40194858,-0.271298677,-0.548097351,-0.387584095,0.257915596,0.307005683,-0.277849258,-0.304630926,0.266645429
TNFSF13B,1.597179278,0.387769058,-0.605971455,-0.365781306,0.123100671,1.277379401,0.135997863,-0.251506972,-0.202857324,0.8925668,0.28492711,-0.345973949,-0.301582502,-0.21418831,0.94150118,-0.015958859,-0.504038328,-0.293713342,1.360812678,1.072332361,0.381183983,0.476517469,1.084148321,0.996159852,1.214365229,0.156448364,-0.101404342,0.403416427,0.793033695,-0.554128444
KDM7A,0.672274301,-0.13196172,0.024155409,-0.156478848,0.631568749,0.676915681,0.098524839,0.234398244,0.273628832,0.040580306,-0.222102718,-0.295421032,-0.305207174,-0.168055456,0.007000389,-0.102294415,-0.026922982,-0.055487657,0.785055603,0.877856545,0.326248081,0.652246505,0.135712341,0.864073277,0.75292465,-0.11702935,-0.163584188,0.521454996,0.152035133,-0.266036654
FEM1B,0.262315757,-0.125531752,0.419358792,0.468823396,0.664175508,0.41441296,0.152929309,0.776448337,0.574568283,-0.353366455,-0.354865436,-0.086129688,-0.064433083,-0.069147265,-0.135654696,0.070769717,0.327027051,0.328294682,0.315407591,0.25106448,0.257651512,0.087517551,-0.27655889,0.521636845,-0.149501482,-0.860103231,-0.20146531,-0.142537589,-0.396109743,-0.54988391
CTSW,-0.898273338,-0.137819008,0.087893683,0.337137599,-0.53607204,-0.709212581,-0.112095045,0.020745207,0.068024636,0.354931834,0.436888616,0.534027147,0.679351337,0.35163019,0.197453979,0.390095211,0.450448256,0.630697375,-0.778630834,-0.497858951,0.488490685,-0.298703982,-0.09412047,-0.399074155,-0.635946869,0.279838912,0.815619779,0.173569507,-0.026179409,0.749079932
PIK3CB,0.406275667,-0.004155223,-0.138617656,-0.246648265,0.508122206,0.549013908,0.265754483,-0.014254986,0.158958216,0.036142924,-0.05260776,-0.297202966,-0.278311415,-0.139375438,-0.101148009,-0.077736668,-0.2764877,-0.044687716,0.503673117,0.243246862,-0.030388079,0.459137811,0.158998947,0.59148666,0.231588237,-0.293616337,-0.30765399,0.136697071,0.272873508,-0.327516504
PCDH1,-0.952967275,-0.083219803,0.442424066,0.631387192,-0.537883806,-0.82077508,-0.018417392,0.339934698,0.319808867,0.091752618,0.485806671,0.877752621,0.919579522,0.026206568,0.147948472,0.511346042,0.776026384,0.960238854,-0.60977514,-0.419214555,0.228459646,-0.018765809,0.155795882,0.027391638,-0.386431078,0.456581203,0.843763119,0.388783453,0.277243008,0.734353884
AGTPBP1,0.276847321,-0.245786902,-0.029233167,-0.161438497,0.638135443,0.454727047,-0.122148292,0.201901477,0.389029435,-0.130064579,-0.316730781,-0.282832617,-0.296828548,-0.334649644,-0.140469444,-0.239119997,0.11553744,-0.020467611,0.469195101,0.33385709,0.150512532,0.598957239,0.012780701,0.607081916,0.138494978,-0.34116168,-0.364944848,0.184380823,0.131686335,-0.618780628
NCR3,-0.604558417,0.079525781,0.510747584,0.557088026,-0.276023751,-0.796910896,-0.174388129,0.120809146,-0.01791451,0.190363783,0.396618694,0.664119883,0.819912794,-0.031508899,-0.009430056,0.368698338,0.314522335,0.520521084,-0.637132785,-0.367822463,0.310189075,-0.102636831,0.031297533,-0.166013831,-0.072555039,0.508571674,0.783638204,0.36463357,0.388141173,0.520753079
CLSTN3,-0.798985457,-0.173077683,0.276757346,-0.053294953,-0.414580072,-0.732056427,0.022812554,0.063360098,-0.001643733,-0.217761581,0.242857868,0.475634249,0.292921686,0.202564323,-0.111268721,0.317802293,0.462430125,0.484289209,-0.334297818,-0.528122941,0.174328934,-0.090555722,0.225955206,-0.106345725,-0.373190538,0.410698695,0.588800405,0.397246303,0.188719289,0.754132435
THY1,-0.872961977,-0.135334459,0.298287736,0.223418948,-0.476040599,-0.795166123,-0.194977765,-0.011651846,-0.07865179,-0.222929484,0.463510289,0.637277935,0.716774475,0.063835806,0.060107784,0.35063854,0.385202087,0.486872331,-0.38701253,-0.45526591,0.191654525,-0.010821969,0.238234611,-0.116086668,-0.219849292,0.34577385,0.573488175,0.073785895,0.368617963,0.677260943
FAM135A,0.755936523,-0.426971313,-0.165041759,-0.231115797,0.787088097,0.549968932,0.306092492,0.412798537,0.309186853,0.291064424,-0.27475042,-0.307920367,-0.388054781,0.111188098,0.155924544,0.199731114,-0.076117235,-0.004473276,1.393743416,1.362598219,0.793891706,0.949474198,-0.089621045,1.042583714,1.34489003,0.014787078,-0.04879552,0.68658229,-0.067428111,-0.822238379
TLR4,1.105757985,-0.129094212,-0.560627589,-0.301914002,0.467150268,0.809182704,-0.362541621,0.007302831,-0.005852727,0.396852713,-0.195336912,-0.560579833,-0.40026468,-0.277586345,0.047069048,-0.529962293,-0.451923587,-0.460077928,0.691745206,0.423229905,0.010592262,0.626076729,0.243125158,0.491077542,0.532682518,-0.361282896,-0.533232426,0.180150837,0.301796741,-0.797321508
STIM2,0.980985317,0.28403076,0.134494058,0.174824404,0.400235275,0.633275221,0.337571942,0.275199804,0.196852629,0.380682303,0.045539337,-0.039015899,-0.081527924,0.068481676,0.251799336,0.12899978,0.054052912,-0.004218289,0.398277672,0.456786876,0.101683446,0.328938741,0.135594089,0.48872171,0.266047711,-0.059277686,-0.122022467,0.178518212,0.265810857,-0.236811828
SDR39U1,-0.352871922,-0.015423796,0.155723199,-0.038633294,-0.344199843,-0.592557279,-0.10938839,-0.091188293,-0.078558475,0.002858037,0.217309782,0.304565969,0.228915961,0.193704452,-0.001304787,0.184340785,0.147798498,0.198989685,-0.312064957,-0.271233088,0.037219346,-0.360916747,-0.170824657,-0.448185422,-0.254833061,0.247327319,0.180262431,-0.250328395,-0.08757714,0.098757171
FAM111A,0.998624102,0.152747062,-0.065099633,-0.151903837,0.239028073,0.720119319,0.107033601,0.020865063,-0.091233493,0.360303513,-0.008219081,-0.198957449,-0.20275737,-0.131809009,0.396535836,-0.076100323,-0.172000081,-0.238719799,0.628678829,0.40228148,-0.013692302,0.189236842,0.472665819,0.427118507,0.43266554,-0.058366525,-0.350241438,0.082262194,0.247082245,-0.198489128
LCOR,0.819652853,0.057062438,0.648393354,0.308520078,1.240701097,1.091885606,0.837399371,0.819223223,0.767021065,0.133397097,-0.627689348,-0.138972475,0.007571616,0.317252983,0.273734955,0.472380817,0.169113712,0.258429285,0.419992385,0.39610152,-0.093891589,0.540379011,0.17136105,0.575095517,0.586113213,-0.190542972,-0.435078335,0.394428555,0.198608809,-0.09305378
KIF13A,1.047803408,0.03819681,-0.20937469,-0.307825705,0.404447731,0.915853322,0.033875107,0.065573175,0.042525159,0.318775593,-0.146622196,-0.416719583,-0.326838686,-0.184248319,0.360710985,-0.120915096,-0.406202085,-0.329934116,0.631517434,0.247523463,-0.052627776,0.484253958,0.278102378,0.346270691,0.251925026,-0.078988326,-0.394262968,0.108043629,0.274830565,-0.233971843
SH2D2A,-0.712169412,-0.177245386,0.131913861,0.205036085,-0.513949352,-0.978209483,-0.242354911,-0.060789585,-0.03107025,-0.204360755,0.212195694,0.589384746,0.5784406,0.015024466,-0.070699161,0.154698363,0.397617884,0.622184842,-0.564299582,-0.360847342,0.114441094,-0.040997424,0.198640547,-0.231594698,-0.466177204,0.371055594,0.541084436,-0.049839318,0.047086081,0.571626938
TNFAIP6,1.822032466,-7.93E-05,-0.467571065,-0.639276785,0.656897087,1.415008752,-0.404576882,0.03528817,0.583892976,0.360343968,-0.252007575,-0.70012278,-0.416913486,-0.509851569,0.462656453,-0.56878806,-0.807990096,-0.577418354,1.522214835,0.659899478,-0.046212564,0.617025822,0.423114474,0.344737171,0.910538103,-0.437301232,-1.101054852,0.033909687,0.085716133,-1.403184329
BACH1,0.534852609,-0.089551538,-0.210462162,-0.09657642,0.472460676,0.773627635,0.271377594,0.17855371,0.238270524,0.195526761,-0.224870987,-0.226368395,-0.310348327,-0.116082621,0.120957658,-0.024184364,-0.099777355,-0.055050661,0.671107045,0.768777151,0.352264092,0.620275766,-0.150522637,0.829545097,0.59837694,-0.113239659,-0.125336056,0.439979239,0.073016942,-0.504374446
CHD7,1.075829059,0.108075345,-0.090572222,-0.15471252,0.019894079,0.34646009,-0.056409099,-0.051268254,-0.033541324,0.147736896,-0.014555985,-0.32037495,-0.24849737,-0.097736045,0.229428892,-0.043229437,-0.259377637,-0.235157399,0.482121971,0.511952684,0.014578396,0.146312387,0.149563034,0.431266812,0.34032459,0.021576066,-0.121091102,0.093126733,0.095725518,-0.276104146
CHSY1,1.246083186,-0.13865306,-0.046974604,-0.019994774,0.69402551,1.019537131,0.161150386,0.471317152,0.398090488,0.346879674,-0.32047296,-0.442902378,-0.180594441,-0.005670864,0.21913473,-0.069629702,-0.205487371,-0.064237058,0.965254417,0.859772128,0.316802875,0.740370744,0.719278741,1.025718255,0.99650254,-0.023700689,0.037984667,0.634034379,0.730998551,-0.255421435
CFLAR,1.063931571,0.050067022,0.147971079,-0.082524735,0.641446476,0.993586149,0.065834858,0.29326951,0.180240963,0.417164666,-0.141697527,-0.215841486,-0.068986836,-0.010424208,0.443127119,0.071716173,-0.102900648,-0.135624289,0.692979364,0.357455821,-0.020553804,0.606071199,0.881085945,0.537764371,0.601953628,-0.167037013,-0.306355049,0.317028449,0.818960529,0.135435373
MYO1E,-0.407556165,-0.055888901,0.07829955,0.055488971,-0.104483412,-0.198848956,-0.004672611,-0.022943559,-0.127374464,-0.002634459,0.262543076,0.352999313,0.292547389,0.057184215,0.219699202,0.197149101,0.188291338,0.190379182,-0.217846711,-0.328201172,-0.191197402,0.051419938,0.202611095,0.04186283,-0.071619357,0.311147928,0.267285709,0.017120281,0.408501237,0.455184724
RAB8B,1.183924629,0.150662695,0.085869887,0.29208512,0.619221431,1.0484697,0.498051167,0.532870879,0.594642577,0.317487719,-0.187579961,-0.075486692,-0.033078884,0.006542913,0.422292168,0.205194102,0.180636306,0.196623821,0.96074194,1.034250745,0.547926803,0.780085833,0.309537867,1.059109046,0.702208153,-0.301092614,-0.181073356,0.531583604,0.029108951,-0.492912961
ATP11A,1.043270899,-0.055582178,0.063269318,0.024702895,0.685220705,1.177001652,0.279718458,0.572265558,0.490325338,0.436744221,-0.328631091,-0.335654931,-0.204842245,-0.009952418,0.148385276,0.069542019,-0.087427571,-0.058518323,0.592377171,0.475398582,0.09021485,0.385603074,0.040772383,0.330959537,0.814563647,-0.309110595,-0.205804667,0.171914834,0.195787122,-0.035287096
XRN1,2.29273734,0.549393195,0.354275441,0.408022066,1.091496622,1.579129324,0.7604775,0.786567593,0.6172678,0.628360862,0.073968867,-0.093030821,-0.203989049,0.134463928,0.709743571,0.457974236,0.002772916,0.020015451,1.034551086,0.900669152,0.196094575,0.757247667,0.695197857,1.017398595,0.923588346,0.072688388,-0.041665062,0.464678667,0.686399073,0.016766349
AFF1,1.625268128,0.167420915,0.4433505,0.258225551,1.22886963,1.474974816,0.712484031,0.772302696,0.617311836,0.379218671,-0.581469169,-0.49933646,-0.300440769,0.070802417,0.333098799,0.254648554,-0.134639307,-0.247500718,1.276379085,1.136170684,0.219707859,0.846638775,0.664092938,1.035158096,1.38142158,-0.238601932,-0.354565411,0.467369567,0.58755492,-0.097049047
CHD1,1.270927533,0.101015799,-0.011592714,-0.010702521,0.699181807,0.968590898,0.149039769,0.395556804,0.257832833,0.471999531,-0.189849118,-0.315527245,-0.320940369,-0.073162019,0.287966994,-0.02461703,-0.043000327,-0.21736467,1.114802237,1.120588821,0.624418341,0.777202911,0.316244373,1.00727161,0.861398827,-0.109547778,-0.261479219,0.400680469,0.138315184,-0.636749011
HDAC10,-0.332773168,-0.098604052,-0.112798989,-0.088335427,-0.624641774,-0.556017385,-0.320380605,-0.132206054,-0.163172044,0.123116185,0.050506266,0.157862998,0.252323361,-0.020364423,0.001176114,0.049716815,0.071119819,0.036930734,-0.534297906,-0.544099694,0.094863129,-0.669861936,-0.196183798,-0.926551772,-0.340298275,0.51298926,0.642694115,-0.298301829,-0.191201737,0.513871333
GZMB,-1.194426668,0.064148556,0.365924419,0.521749365,-0.487166714,-1.047298856,-0.088906414,0.053060282,0.042741644,-0.013596847,0.832509448,0.984401722,1.010802011,0.078524209,0.22073368,0.464615433,0.68759198,0.921017649,-0.298923535,-0.159036236,0.481856186,0.250549887,0.364734608,0.246773899,0.024196848,0.633671303,0.867044087,0.387640263,0.51209945,0.700651613
OSGIN2,1.094950116,0.056432433,0.054928322,0.041108613,0.475278348,0.61110995,0.28600958,0.216501149,0.363897484,0.329103805,0.054651804,-0.134533612,-0.20907557,-0.064736933,0.22453514,0.058276506,0.060644338,0.100116645,0.718773625,0.706034884,0.338161933,0.559631541,0.285642049,0.713613389,0.392108079,-0.215178057,-0.105359124,0.300601341,0.128386288,-0.621868701
