Ensembl.RM.ID,Ensembl.HS.ID,HS.SYMBOL.ID,logFC.W0D1.Prot.Subq,logFC.W0D3.Prot.Subq,logFC.W0D7.Prot.Subq,logFC.W18D0.Prot.Subq,logFC.W18D1.Prot.Subq,logFC.W18D3.Prot.Subq,logFC.W18D7.Prot.Subq,logFC.W88D0.Prot.Subq,logFC.W0D1.Unpr.Subq,logFC.W0D3.Unpr.Subq,logFC.W0D7.Unpr.Subq,logFC.W18D0.Unpr.Subq,logFC.W18D1.Unpr.Subq,logFC.W18D3.Unpr.Subq,logFC.W18D7.Unpr.Subq,logFC.W88D0.Unpr.Subq,logFC.W0D1.Prot.Oral,logFC.W0D3.Prot.Oral,logFC.W0D7.Prot.Oral,logFC.W18D0.Prot.Oral,logFC.W18D1.Prot.Oral,logFC.W18D3.Prot.Oral,logFC.W18D7.Prot.Oral,logFC.W88D0.Prot.Oral,logFC.W0D1.Unpr.Oral,logFC.W0D3.Unpr.Oral,logFC.W0D7.Unpr.Oral,logFC.W18D0.Unpr.Oral,logFC.W18D1.Unpr.Oral,logFC.W18D3.Unpr.Oral,logFC.W18D7.Unpr.Oral,logFC.W88D0.Unpr.Oral,Pval.W0D1.Prot.Subq,Pval.W0D3.Prot.Subq,Pval.W0D7.Prot.Subq,Pval.W18D0.Prot.Subq,Pval.W18D1.Prot.Subq,Pval.W18D3.Prot.Subq,Pval.W18D7.Prot.Subq,Pval.W88D0.Prot.Subq,Pval.W0D1.Unpr.Subq,Pval.W0D3.Unpr.Subq,Pval.W0D7.Unpr.Subq,Pval.W18D0.Unpr.Subq,Pval.W18D1.Unpr.Subq,Pval.W18D3.Unpr.Subq,Pval.W18D7.Unpr.Subq,Pval.W88D0.Unpr.Subq,Pval.W0D1.Prot.Oral,Pval.W0D3.Prot.Oral,Pval.W0D7.Prot.Oral,Pval.W18D0.Prot.Oral,Pval.W18D1.Prot.Oral,Pval.W18D3.Prot.Oral,Pval.W18D7.Prot.Oral,Pval.W88D0.Prot.Oral,Pval.W0D1.Unpr.Oral,Pval.W0D3.Unpr.Oral,Pval.W0D7.Unpr.Oral,Pval.W18D0.Unpr.Oral,Pval.W18D1.Unpr.Oral,Pval.W18D3.Unpr.Oral,Pval.W18D7.Unpr.Oral,Pval.W88D0.Unpr.Oral,adjPval.W0D1.Prot.Subq,adjPval.W0D3.Prot.Subq,adjPval.W0D7.Prot.Subq,adjPval.W18D0.Prot.Subq,adjPval.W18D1.Prot.Subq,adjPval.W18D3.Prot.Subq,adjPval.W18D7.Prot.Subq,adjPval.W88D0.Prot.Subq,adjPval.W0D1.Unpr.Subq,adjPval.W0D3.Unpr.Subq,adjPval.W0D7.Unpr.Subq,adjPval.W18D0.Unpr.Subq,adjPval.W18D1.Unpr.Subq,adjPval.W18D3.Unpr.Subq,adjPval.W18D7.Unpr.Subq,adjPval.W88D0.Unpr.Subq,adjPval.W0D1.Prot.Oral,adjPval.W0D3.Prot.Oral,adjPval.W0D7.Prot.Oral,adjPval.W18D0.Prot.Oral,adjPval.W18D1.Prot.Oral,adjPval.W18D3.Prot.Oral,adjPval.W18D7.Prot.Oral,adjPval.W88D0.Prot.Oral,adjPval.W0D1.Unpr.Oral,adjPval.W0D3.Unpr.Oral,adjPval.W0D7.Unpr.Oral,adjPval.W18D0.Unpr.Oral,adjPval.W18D1.Unpr.Oral,adjPval.W18D3.Unpr.Oral,adjPval.W18D7.Unpr.Oral,adjPval.W88D0.Unpr.Oral
ENSMMUG00000000005,ENSG00000198951,NAGA,-0.2576,-0.3482,-0.2435,-0.3802,0.2472,-0.176,0.04037,-0.6716,-0.1514,0.3019,0.05434,-0.1087,0.3531,0.03978,0.2468,-0.2858,-0.381,-0.619,-0.1239,-0.5297,-0.4222,-0.3333,-0.4776,-0.5472,-0.3007,-0.4413,0.05096,-0.529,-0.2337,-0.1903,-0.3176,-0.3083,0.05995,0.01869,0.07342,0.005759,0.07983,0.1961,0.7739,1.682e-05,0.3512,0.03723,0.7373,0.4569,0.04165,0.7827,0.1246,0.08561,0.00191,3.457e-07,0.2878,2.305e-05,0.0003963,0.008971,6.487e-05,2.698e-05,0.04838,0.002644,0.7227,0.0007455,0.1083,0.1897,0.02928,0.09365,0.1355,0.05516,0.2381,0.0339,0.4715,0.2724,0.9282,0.0004891,0.5747,0.4391,0.9464,0.69,0.3349,0.858,0.3158,0.4249,0.004753,2.525e-06,0.4148,0.001794,0.01261,0.1461,0.0005833,0.0005009,0.1027,0.008617,0.8337,0.01569,0.5572,0.4183,0.101,0.3638
ENSMMUG00000000009,ENSG00000081237,PTPRC,0.6582,0.7599,0.4909,0.6141,-0.02989,0.676,0.07588,0.7424,0.6128,-0.08793,0.03596,0.4628,-0.003463,0.4488,-0.3378,0.2888,1.081,1.104,0.4322,0.5953,0.5119,0.4443,0.6659,0.5763,0.8344,0.753,-0.05932,0.3466,0.1655,-0.09727,0.09984,0.155,0.001021,0.000498,0.01318,0.002074,0.8827,0.0007238,0.7077,0.0006653,0.009457,0.6759,0.8775,0.02863,0.9889,0.03433,0.1462,0.2187,3.577e-09,5.796e-10,0.01078,0.0007597,0.002648,0.0149,0.0001051,0.001683,0.0001699,0.0003328,0.7727,0.1112,0.4208,0.6357,0.6275,0.5472,0.01485,0.006373,0.09992,0.02133,0.9793,0.004698,0.9042,0.005644,0.08937,0.8903,0.9794,0.2711,0.9985,0.1096,0.3445,0.6375,9.196e-08,2.666e-08,0.03841,0.01028,0.03117,0.1727,0.0007608,0.01162,0.00285,0.001751,0.8677,0.2523,0.8054,0.7992,0.7653,0.8062
ENSMMUG00000000013,ENSG00000134152,KATNBL1,0.7088,0.9175,0.5227,0.6702,-0.258,0.6655,-0.2528,1.044,0.6482,-0.1805,-0.1751,0.2849,-0.0519,0.2332,-0.8247,0.113,1.188,1.2,-0.02187,0.7723,0.6506,0.5675,0.7856,0.6909,0.6196,0.4219,-0.7269,0.369,0.09451,-0.6066,-0.2437,-0.1478,0.01891,0.005095,0.08096,0.02571,0.4138,0.02658,0.4286,0.001698,0.06566,0.5683,0.6199,0.3693,0.8947,0.4614,0.02427,0.7486,1.576e-05,7.35e-06,0.9338,0.004389,0.01294,0.04576,0.002773,0.01464,0.06673,0.1906,0.02644,0.2743,0.7683,0.06153,0.4464,0.7122,0.0662,0.02313,0.2495,0.07614,0.8272,0.0541,0.7497,0.01058,0.2293,0.8448,0.9109,0.6286,0.9756,0.6049,0.1527,0.9455,8.767e-05,3.015e-05,0.9572,0.02674,0.06506,0.2437,0.007568,0.05451,0.1301,0.268,0.09573,0.4536,0.9408,0.2097,0.6191,0.892
ENSMMUG00000000042,ENSG00000121989,ACVR2A,0.5038,0.9055,0.9524,0.7286,0.3692,1.172,0.507,1.006,0.2009,-0.07013,0.375,0.7166,0.1287,0.8227,-0.2511,0.7996,0.6543,1.463,1.126,1.01,0.8456,0.875,1.101,0.1985,0.7016,0.821,0.2157,0.8636,0.265,0.4323,0.4454,0.1212,0.09325,0.00473,0.001113,0.01234,0.2513,5.046e-05,0.1155,0.001076,0.5731,0.8215,0.2612,0.02169,0.7409,0.006333,0.4806,0.01503,0.01843,2.122e-08,3.176e-05,0.0002138,0.00162,0.002462,4.173e-05,0.5314,0.03819,0.008672,0.5051,0.0115,0.4253,0.1871,0.1619,0.7658,0.1832,0.02204,0.0454,0.05022,0.7219,0.001162,0.433,0.007775,0.7483,0.9436,0.7508,0.2574,0.9316,0.04092,0.6597,0.1663,0.03336,3.162e-07,0.0007179,0.005798,0.02501,0.08895,0.0004549,0.671,0.08661,0.02173,0.6703,0.06468,0.8073,0.4148,0.3154,0.9175
ENSMMUG00000000051,ENSG00000185621,LMLN,0.7093,0.9004,0.2142,1.065,0.03574,0.6601,0.3682,1.078,0.9956,-0.4284,-0.6221,0.4899,0.3178,0.192,-0.4205,0.4755,2.042,1.542,-0.2755,1.004,0.8612,0.4926,0.8318,0.8329,1.023,0.4317,-1.236,-0.1854,-0.4791,-0.9538,-0.7056,-0.3402,0.04105,0.01918,0.5562,0.002687,0.9254,0.06363,0.3488,0.00825,0.01066,0.2305,0.1239,0.1673,0.4798,0.5873,0.2948,0.2115,2.401e-11,1.369e-07,0.3888,0.00121,0.003874,0.1495,0.006166,0.01075,0.003233,0.1933,0.0009751,0.6086,0.1702,0.008105,0.04177,0.4491,0.1062,0.05618,0.7376,0.0237,0.987,0.1087,0.6916,0.03064,0.09429,0.6696,0.6303,0.46,0.8281,0.715,0.5029,0.629,2.179e-09,1.239e-06,0.5177,0.01306,0.03746,0.3851,0.01412,0.04366,0.01566,0.2709,0.007749,0.7484,0.6339,0.05318,0.127,0.7473
ENSMMUG00000000056,ENSG00000163512,AZI2,0.8519,0.7903,0.3555,0.4892,0.2749,0.6005,-0.0001175,0.5446,0.5971,-0.1825,-0.03811,0.4433,0.1867,0.3833,-0.5347,0.09569,0.5888,0.792,0.4003,0.3873,0.3213,0.1958,0.5113,0.3334,0.4919,0.5439,-0.07276,0.3495,0.0443,-0.2381,0.1142,-0.136,9.337e-06,0.0002023,0.06525,0.01112,0.1705,0.001915,0.9995,0.009467,0.008551,0.3729,0.8677,0.03229,0.4526,0.06228,0.02391,0.6738,0.0007753,2.447e-06,0.01819,0.02672,0.05571,0.2908,0.00257,0.07099,0.0234,0.007758,0.726,0.1101,0.8319,0.2579,0.5771,0.6002,0.0009248,0.004614,0.2229,0.04734,0.6335,0.008239,0.9999,0.03382,0.08494,0.7462,0.9782,0.2776,0.8137,0.1576,0.1518,0.9224,0.002234,1.216e-05,0.05547,0.08524,0.1486,0.5285,0.007155,0.1661,0.06092,0.01994,0.836,0.2505,0.9582,0.4975,0.7284,0.8383
ENSMMUG00000000058,ENSG00000091527,CDV3,0.4536,0.4345,0.1283,0.363,0.01399,0.4657,0.1869,0.4805,0.3618,-0.2362,-0.1389,0.2246,0.0494,0.4335,-0.07878,0.2263,0.878,0.8376,0.3976,0.3045,0.3438,0.2435,0.5507,0.335,0.6106,0.5218,-0.06783,-0.02418,0.006287,-0.2128,0.1272,0.227,0.002149,0.006823,0.3825,0.01371,0.9271,0.001661,0.2222,0.003064,0.03516,0.1278,0.4207,0.1479,0.7918,0.005384,0.6465,0.1869,1.859e-10,3.725e-10,0.001907,0.02104,0.007127,0.07686,2.136e-05,0.01514,0.0002487,0.0009216,0.6644,0.8838,0.968,0.1769,0.4142,0.2441,0.02127,0.0278,0.6012,0.05323,0.987,0.007573,0.5767,0.01581,0.1672,0.5792,0.8368,0.44,0.9464,0.03742,0.7863,0.5973,9.638e-09,1.984e-08,0.01176,0.07243,0.04908,0.2946,0.0003298,0.05579,0.003511,0.003792,0.7907,0.9314,0.9914,0.4013,0.5904,0.5718
ENSMMUG00000000107,ENSG00000196967,ZNF585A,0.5405,0.7187,0.6621,0.3275,-0.1665,0.4887,-0.3517,0.5424,0.3317,-0.3037,-0.1802,0.009394,-0.5271,0.07145,-0.9878,0.09784,0.3608,0.8175,0.289,0.6358,0.2814,0.2371,0.7096,0.5514,0.2781,0.4212,-0.01565,0.511,-0.09617,-0.03705,0.02274,0.01103,0.02564,0.007665,0.007212,0.1862,0.5385,0.04829,0.2065,0.04181,0.2535,0.2491,0.5362,0.9721,0.1195,0.7858,0.002145,0.7357,0.1235,0.0001825,0.2056,0.005752,0.2132,0.3385,0.001695,0.02564,0.3424,0.1212,0.956,0.0819,0.7391,0.8973,0.9343,0.9742,0.07963,0.02994,0.07894,0.2949,0.8777,0.08696,0.5608,0.09814,0.4824,0.6808,0.8844,0.9887,0.5229,0.8603,0.05572,0.9426,0.173,0.0004593,0.3236,0.03158,0.3557,0.5714,0.005198,0.08088,0.4486,0.185,0.9781,0.2067,0.9313,0.9494,0.9645,0.9924
ENSMMUG00000000125,ENSG00000124209,RAB22A,0.5364,0.6604,0.4232,0.5465,0.0363,0.6985,0.1051,0.5859,0.398,-0.2162,-0.09088,0.3141,-0.1485,0.4911,-0.4931,0.2226,0.6458,0.8304,0.4702,0.4336,0.321,0.1265,0.6379,0.2706,0.6084,0.5659,0.08278,0.2485,-0.07525,-0.2311,0.1956,-0.2506,0.004709,0.001574,0.02685,0.004295,0.8573,0.0002647,0.6057,0.004716,0.07732,0.2907,0.6901,0.1256,0.5576,0.01611,0.03515,0.324,0.0001704,4.985e-07,0.004621,0.01144,0.05136,0.486,0.0001272,0.1359,0.004489,0.005179,0.6854,0.2511,0.7167,0.2691,0.3325,0.3294,0.03115,0.01127,0.1408,0.02955,0.9728,0.002754,0.8561,0.02095,0.2516,0.7032,0.9365,0.4178,0.8641,0.07045,0.1781,0.7377,0.0006247,3.35e-06,0.02135,0.04866,0.1416,0.6937,0.0008519,0.2632,0.01941,0.0146,0.8071,0.4283,0.9248,0.5087,0.5122,0.6518
ENSMMUG00000000170,ENSG00000205413,SAMD9,1.708,1.561,0.6185,0.9077,0.6791,1.193,-0.3974,1.28,1.44,0.00428,-0.2549,0.471,0.1788,0.6993,-1.044,0.4283,1.76,1.774,0.2328,1.16,0.8551,0.5223,1.103,1.148,1.014,0.8343,-0.7271,0.3972,-0.111,-0.6083,-0.2357,0.1495,3.947e-05,0.0003263,0.1094,0.02058,0.09141,0.002699,0.3279,0.003155,0.002312,0.9918,0.5768,0.2534,0.7158,0.09312,0.0283,0.3549,1.59e-06,7.636e-07,0.493,0.00105,0.01222,0.155,0.001241,0.001787,0.02411,0.05075,0.08171,0.3625,0.7881,0.1431,0.5696,0.7711,0.002429,0.005383,0.2942,0.06731,0.4996,0.01022,0.6752,0.01612,0.05039,0.9968,0.8984,0.5377,0.9242,0.2056,0.1625,0.7629,1.317e-05,4.718e-06,0.6124,0.01213,0.06335,0.3903,0.00412,0.01213,0.06227,0.09141,0.2074,0.5429,0.9462,0.3538,0.7229,0.9197
ENSMMUG00000000204,ENSG00000198001,IRAK4,0.328,0.3503,0.1412,0.3434,0.324,0.4123,0.1058,0.1658,0.2696,-0.01295,0.0005816,0.261,0.3935,0.2991,-0.09658,-0.1166,0.2664,0.3101,0.3074,0.178,0.1949,0.1016,0.284,-0.05728,0.1388,0.08234,-0.109,-0.05221,-0.05239,-0.218,-0.07973,-0.1794,0.0006474,0.0008308,0.1407,0.0003726,0.001202,2.184e-05,0.2911,0.1165,0.01583,0.8973,0.9959,0.01015,0.001261,0.003121,0.3921,0.3036,0.002079,0.0002011,0.0002531,0.03905,0.01895,0.2594,0.0007261,0.5311,0.196,0.4175,0.2873,0.631,0.6118,0.03604,0.4338,0.1686,0.0119,0.007991,0.3372,0.01106,0.03321,0.0007895,0.6449,0.2084,0.1145,0.9701,0.9993,0.2062,0.04881,0.02718,0.5877,0.7217,0.005099,0.0005012,0.003026,0.1096,0.08036,0.4968,0.002789,0.6706,0.2927,0.5071,0.4746,0.7655,0.8892,0.147,0.6085,0.4824
ENSMMUG00000000220,ENSG00000114686,MRPL3,0.4555,0.751,0.4532,0.4405,0.1329,0.5903,-0.008408,0.4768,0.2669,-0.132,-0.1155,0.3096,-0.111,0.3698,-0.4182,0.1429,0.4877,0.7009,0.4648,0.3896,0.426,0.3091,0.6134,0.252,0.4556,0.5292,0.2333,0.3775,0.05699,0.05424,0.2169,0.2341,0.007734,7.811e-05,0.008562,0.01051,0.4612,0.0006192,0.9634,0.01073,0.1853,0.4684,0.5703,0.09213,0.6199,0.04267,0.04525,0.4802,0.001593,2.433e-06,0.001913,0.01171,0.004237,0.05699,4.595e-05,0.1211,0.01918,0.004085,0.2071,0.05437,0.7599,0.7712,0.2354,0.309,0.03991,0.003345,0.08438,0.0461,0.8452,0.004355,0.9886,0.03681,0.405,0.8007,0.896,0.3844,0.8891,0.1246,0.1975,0.8428,0.004094,1.211e-05,0.01178,0.04948,0.03875,0.2641,0.0004793,0.2421,0.05266,0.01215,0.3838,0.1591,0.9381,0.8811,0.4065,0.6356
ENSMMUG00000000232,ENSG00000169299,PGM2,0.3676,0.4464,0.1813,0.2598,-0.02177,0.3915,0.02059,0.3726,0.1742,-0.06049,0.01362,0.2716,0.04913,0.2294,-0.3057,-0.004493,0.4011,0.4759,0.2137,0.2137,0.1842,0.05083,0.4237,0.3335,0.2265,0.1413,-0.05316,0.09894,-0.09043,-0.3192,-0.06069,0.05418,0.01632,0.007485,0.2343,0.0891,0.892,0.01073,0.8987,0.02611,0.3318,0.7075,0.9399,0.09489,0.8026,0.1551,0.09577,0.9801,0.003637,0.0003522,0.1073,0.1202,0.1644,0.7256,0.001535,0.02055,0.1888,0.3849,0.7464,0.5682,0.5845,0.05645,0.7099,0.7916,0.06099,0.02954,0.4521,0.1731,0.9808,0.02705,0.9672,0.06973,0.5572,0.9032,0.9905,0.3877,0.95,0.2868,0.275,0.9948,0.008227,0.0008218,0.2005,0.2398,0.2988,0.856,0.004834,0.06922,0.2843,0.4754,0.8495,0.7189,0.879,0.198,0.8236,0.9256
ENSMMUG00000000268,ENSG00000105255,FSD1,-0.5134,-0.4764,0.1397,-0.05745,-0.05506,-0.236,0.04059,-0.5093,-0.7305,0.3456,0.2229,-0.0815,-0.3929,-0.38,0.2843,0.04472,-0.7015,-0.7762,-0.1101,-0.07168,-0.1958,-0.1747,-0.7591,-0.2267,-0.7511,-0.3707,0.3884,0.07402,0.121,0.3295,0.1641,-0.3387,0.01502,0.03084,0.4785,0.7769,0.7994,0.2577,0.8464,0.02553,0.003629,0.1017,0.3362,0.7065,0.1302,0.08177,0.2187,0.852,0.0006246,4.304e-05,0.5386,0.7044,0.2762,0.3767,6.719e-05,0.2618,0.002494,0.1079,0.07706,0.751,0.5896,0.1381,0.4656,0.2365,0.05846,0.07811,0.68,0.8409,0.9606,0.341,0.9518,0.06862,0.06042,0.5454,0.7907,0.8468,0.5417,0.1883,0.4275,0.9685,0.00186,0.0001323,0.6523,0.8075,0.4222,0.6061,0.0005918,0.415,0.01335,0.1683,0.1996,0.8451,0.8804,0.3463,0.6361,0.5626
ENSMMUG00000000297,ENSG00000129680,MAP7D3,-0.1966,-0.3169,-0.3766,-0.07162,0.1258,-0.1025,0.2541,-0.1698,-0.09275,0.1025,-0.2132,-0.1694,0.2263,0.03126,0.2322,0.1218,-0.09159,-0.1475,0.02581,-0.4111,-0.1246,-0.2409,-0.1636,-0.1565,0.1945,0.1109,0.09919,-0.1451,-0.0372,0.2168,-0.0554,0.3644,0.07403,0.00865,0.0008137,0.5154,0.2703,0.3516,0.02629,0.156,0.4792,0.3844,0.1127,0.1574,0.1097,0.7912,0.07155,0.3554,0.3511,0.1156,0.7851,5.412e-05,0.1872,0.01991,0.08579,0.1299,0.1195,0.3482,0.4003,0.2562,0.756,0.06953,0.639,0.01419,0.1562,0.0326,0.04051,0.6233,0.7386,0.4397,0.1998,0.2596,0.6801,0.7553,0.6235,0.4499,0.5084,0.8636,0.2413,0.7631,0.4241,0.1479,0.852,0.002702,0.3248,0.1854,0.1269,0.2546,0.2008,0.4375,0.582,0.4338,0.9372,0.2264,0.7739,0.1399
ENSMMUG00000000330,ENSG00000134982,APC,0.56,0.6602,0.3258,0.5466,-0.0397,0.6399,0.1003,0.7937,0.4901,-0.2415,-0.03608,0.406,0.01128,0.4787,-0.311,0.4183,1.159,1.083,0.5134,0.5203,0.5293,0.3813,0.7385,0.609,0.8491,0.6302,-0.02114,0.2193,-0.05672,-0.1547,0.1298,0.2096,0.002063,0.001067,0.07595,0.002935,0.8366,0.000505,0.6042,7.781e-05,0.02401,0.2193,0.8692,0.04,0.9627,0.01449,0.1565,0.05204,1.076e-11,3.733e-11,0.001584,0.001933,0.001052,0.03014,6.205e-06,0.0005435,3.715e-05,0.001196,0.9152,0.295,0.7765,0.4401,0.5079,0.3938,0.02089,0.009084,0.2418,0.0248,0.9685,0.003874,0.8554,0.001357,0.1398,0.6623,0.9782,0.297,0.9925,0.06656,0.3556,0.3316,1.13e-09,5.615e-09,0.01045,0.01655,0.02081,0.2112,0.0001839,0.005074,0.001131,0.004645,0.9552,0.4756,0.9428,0.6648,0.6717,0.7052
ENSMMUG00000000338,ENSG00000132274,TRIM22,0.8956,0.6162,0.127,0.5366,0.6858,0.6448,0.06423,0.5022,0.8284,0.07017,-0.185,0.3085,0.7097,0.3802,-0.1739,0.04084,0.8768,0.5597,0.05648,0.3569,0.37,0.2068,0.3497,0.33,0.3989,0.09546,-0.5912,-0.06204,-0.05343,-0.5009,-0.4181,-0.1527,2.847e-07,0.0008536,0.4435,0.001495,0.0001116,0.0001514,0.7084,0.006084,4.317e-05,0.6921,0.3445,0.08188,0.0009893,0.03324,0.3737,0.8354,1.977e-08,0.000145,0.6944,0.01745,0.01093,0.1829,0.01589,0.0342,0.03384,0.5892,0.0009419,0.7387,0.7618,0.004902,0.01866,0.4885,6.423e-05,0.008064,0.6544,0.01905,0.004999,0.002101,0.9044,0.02492,0.006045,0.8968,0.7953,0.3708,0.04146,0.1076,0.5716,0.9663,3.501e-07,0.0003763,0.7826,0.0638,0.06017,0.4218,0.03029,0.09871,0.07947,0.6648,0.007592,0.8376,0.939,0.03775,0.07575,0.7731
ENSMMUG00000000421,ENSG00000113580,NR3C1,0.4378,0.5502,0.2898,0.5284,-0.2978,0.5066,-0.1999,0.7286,0.3116,-0.1478,-0.06661,0.3067,-0.1797,0.3159,-0.5306,0.304,0.8501,0.8694,0.3291,0.4416,0.3447,0.3123,0.6063,0.6183,0.6106,0.5258,-0.2202,0.2654,-0.02035,-0.2703,0.01963,0.09561,0.0164,0.005424,0.1059,0.003712,0.1092,0.005335,0.2811,0.0002921,0.1416,0.4378,0.7511,0.1073,0.4293,0.09985,0.01281,0.1568,6.736e-07,2.285e-07,0.0353,0.006943,0.02887,0.06305,0.0001539,0.0003015,0.003365,0.007817,0.248,0.1875,0.9147,0.1551,0.9188,0.6892,0.06114,0.02401,0.2888,0.02769,0.5393,0.01637,0.6373,0.003345,0.352,0.7836,0.9494,0.4019,0.7969,0.2146,0.1191,0.5604,6.416e-06,1.809e-06,0.08935,0.0351,0.1005,0.2739,0.00096,0.003262,0.01613,0.02007,0.43,0.3566,0.9806,0.3709,0.9534,0.8824
ENSMMUG00000000424,ENSG00000150347,ARID5B,0.4183,0.4224,0.1229,0.5568,-0.1371,0.4711,0.116,0.6942,0.4466,-0.1704,-0.09976,0.3079,0.02139,0.2984,-0.09847,0.3135,1.171,0.8395,0.08232,0.2048,0.3468,0.1331,0.3548,0.2356,0.6329,0.4003,-0.4297,-0.05499,-0.0983,-0.3455,-0.2018,-0.03775,0.01394,0.02245,0.4719,0.001148,0.4463,0.005858,0.5168,0.0002277,0.02532,0.3464,0.6231,0.08805,0.9236,0.09701,0.6259,0.116,4.13e-13,3.442e-08,0.5805,0.1815,0.01934,0.4093,0.01713,0.1442,0.0008857,0.02592,0.01964,0.7744,0.5884,0.05994,0.2643,0.8678,0.05614,0.06285,0.6747,0.01757,0.8388,0.01738,0.8086,0.002842,0.1431,0.7325,0.9116,0.3788,0.9821,0.2107,0.7723,0.4908,1.258e-10,4.442e-07,0.6882,0.3216,0.08121,0.6317,0.03229,0.2748,0.007179,0.05305,0.07657,0.8608,0.8804,0.2065,0.4401,0.955
ENSMMUG00000000428,ENSG00000112531,QKI,0.9149,1.027,0.4824,0.7667,0.1151,1.061,0.3246,1.036,0.9156,-0.1458,-0.01797,0.6558,0.03225,0.8633,-0.3222,0.2646,1.508,1.569,0.6967,0.7116,0.728,0.4638,1.034,0.6081,1.139,0.9184,0.04615,0.2038,-0.0419,-0.3909,0.1466,-0.1201,0.0001534,0.0001347,0.05054,0.001692,0.6549,1.347e-05,0.2127,0.0001126,0.00142,0.5723,0.9505,0.01195,0.92,0.0007561,0.2685,0.3512,1.258e-11,4.984e-13,0.001195,0.001342,0.0006664,0.04651,1.681e-06,0.009083,2.537e-05,0.0003193,0.8602,0.464,0.8738,0.1442,0.5704,0.7123,0.005644,0.004128,0.1945,0.02,0.9171,0.0006114,0.5658,0.001768,0.03944,0.8461,0.9917,0.215,0.9817,0.01278,0.4782,0.7613,1.288e-09,4.337e-10,0.008642,0.01366,0.01649,0.2451,0.0001064,0.03881,0.000923,0.001697,0.9247,0.6337,0.9693,0.3557,0.7233,0.892
ENSMMUG00000000457,ENSG00000141429,GALNT1,0.3343,0.3799,0.2365,0.5333,-0.1253,0.4907,0.03299,0.6843,0.1928,-0.3339,-0.1843,0.3501,-0.05497,0.1641,-0.4573,0.1506,0.5955,0.6948,0.3177,0.4742,0.3504,0.2454,0.5668,0.4976,0.3111,0.3369,-0.1977,0.4392,0.1472,-0.1864,0.1453,0.04561,0.06248,0.05124,0.1847,0.003131,0.4994,0.006377,0.8585,0.0005925,0.3573,0.07864,0.3796,0.06507,0.8086,0.3856,0.03244,0.4755,0.0002659,1.677e-05,0.04068,0.003488,0.02522,0.1416,0.0003395,0.003153,0.1223,0.07922,0.2971,0.02903,0.4371,0.3247,0.4467,0.8472,0.1395,0.1122,0.3932,0.02567,0.8605,0.01847,0.956,0.005227,0.5802,0.5202,0.8099,0.343,0.951,0.5349,0.1727,0.8409,0.0009036,5.979e-05,0.09896,0.02341,0.09311,0.3777,0.001631,0.0184,0.2043,0.1313,0.4847,0.1083,0.8138,0.5612,0.6192,0.9487
ENSMMUG00000000498,ENSG00000115421,PAPOLG,0.4989,0.6064,0.287,0.6338,0.03544,0.7315,0.168,0.7411,0.4115,-0.2373,-0.06305,0.4321,0.2298,0.4761,-0.1933,0.2771,1.048,0.9192,0.2071,0.4417,0.462,0.405,0.6034,0.4465,0.6793,0.5349,-0.3137,0.142,0.04395,-0.305,-0.02416,0.0634,0.00632,0.002769,0.1216,0.0006112,0.8546,7.95e-05,0.3888,0.0002588,0.05884,0.2295,0.7754,0.02931,0.3397,0.01485,0.3784,0.2005,5.993e-10,1.302e-08,0.2022,0.008548,0.004208,0.02166,0.0002132,0.01109,0.0009288,0.005925,0.1203,0.4996,0.8262,0.13,0.9024,0.7987,0.03608,0.01576,0.3116,0.014,0.9715,0.001473,0.7202,0.003085,0.2164,0.6693,0.9558,0.2722,0.742,0.06728,0.5752,0.6136,2.282e-08,2.231e-07,0.3194,0.0401,0.03871,0.1904,0.001207,0.04462,0.007369,0.01617,0.2693,0.6649,0.9575,0.3336,0.945,0.9289
ENSMMUG00000000517,ENSG00000122591,FAM126A,0.5664,0.8783,0.5528,0.6003,0.05282,0.8712,0.3383,0.5138,0.4838,-0.1595,0.05547,0.4655,0.09245,0.657,-0.2835,0.07402,0.7163,1.111,0.6947,0.5429,0.584,0.3265,0.7544,0.4626,0.7964,0.8121,0.2924,0.5283,0.2135,0.06673,0.5889,0.1273,0.01073,0.0003528,0.01365,0.007091,0.8242,0.0001009,0.1551,0.03587,0.06968,0.5049,0.8346,0.05352,0.7598,0.005753,0.2903,0.7816,0.0004701,2.475e-08,0.0005398,0.008486,0.003417,0.136,0.000161,0.03516,0.002052,0.000935,0.2397,0.04553,0.398,0.7933,0.01682,0.6763,0.04806,0.005592,0.1014,0.03786,0.9681,0.001689,0.4931,0.08784,0.2373,0.8166,0.9716,0.3228,0.9364,0.03864,0.4989,0.9564,0.00146,3.516e-07,0.005043,0.0399,0.03532,0.3707,0.0009881,0.1009,0.01194,0.003828,0.4206,0.1422,0.7932,0.8931,0.07049,0.8771
